Alpha,Cd
-25.0,0.32428
-24.0,0.31001
-23.0,0.29525
-22.0,0.28078
-21.0,0.26752
-20.0,0.25043
-19.0,0.23771
-18.0,0.22388
-17.0,0.21008
-16.0,0.19526
-15.0,0.1798
-14.0,0.16371
-13.0,0.1507
-12.0,0.13547
-11.0,0.11992
-10.0,0.10658
-9.0,0.09418
-8.0,0.0776
-7.0,0.0389
-5.0,0.0175
-4.0,0.01291
-3.0,0.01079
-2.0,0.00982
-1.0,0.00881
0.0,0.00777
1.0,0.00721
2.0,0.00774
3.0,0.0086
5.0,0.01111
6.0,0.01233
7.0,0.01365
8.0,0.01606
9.0,0.0201
10.0,0.02494
11.0,0.034
12.0,0.04608
13.0,0.06377
14.0,0.08544
15.0,0.10846
16.0,0.13194
17.0,0.15765
18.0,0.18762
19.0,0.22301
20.0,0.25039
21.0,0.27272
22.0,0.23322
23.0,0.2497
24.0,0.26591
25.0,0.28007
26.0,0.2969
27.0,0.31278
28.0,0.32874
29.0,0.34242
30.0,0.41643
