Alpha,Cd
-25.0,0.30288
-24.0,0.2904
-23.0,0.27721
-22.0,0.2644
-21.0,0.25327
-20.0,0.23717
-19.0,0.22608
-18.0,0.2139
-17.0,0.20084
-16.0,0.14545
-15.0,0.17133
-14.0,0.15519
-12.0,0.12731
-11.0,0.11056
-10.0,0.09385
-8.0,0.04554
-7.0,0.02419
-6.0,0.01723
-5.0,0.01352
-4.0,0.01094
-3.0,0.01001
-2.0,0.0092
-1.0,0.00813
0.0,0.00672
1.0,0.00674
2.0,0.00709
3.0,0.00761
4.0,0.00851
5.0,0.00975
6.0,0.01078
7.0,0.01181
8.0,0.01299
9.0,0.01546
10.0,0.01804
11.0,0.02231
12.0,0.02683
13.0,0.03399
14.0,0.04615
15.0,0.05985
16.0,0.07563
17.0,0.09419
18.0,0.11411
19.0,0.13476
20.0,0.15622
21.0,0.17967
22.0,0.2102
23.0,0.28422
24.0,0.2966
25.0,0.31612
26.0,0.33029
27.0,0.34165
28.0,0.34999
29.0,0.36233
30.0,0.3769
