Alpha,Cl
-25.0,-0.772
-24.0,-0.7378
-23.0,-0.7023
-22.0,-0.6735
-21.0,-0.6356
-20.0,-0.6004
-19.0,-0.566
-18.0,-0.5349
-17.0,-0.5159
-16.0,-0.4751
-15.0,-0.4441
-14.0,-0.4444
-13.0,-0.3987
-12.0,-0.3995
-11.0,-0.371
-10.0,-0.367
-9.0,-0.3532
-8.0,-0.4464
-7.0,-0.4082
-6.0,-0.3076
-5.0,-0.1884
-4.0,-0.0557
-3.0,0.0665
-2.0,0.174
-1.0,0.265
0.0,0.4419
1.0,0.5403
2.0,0.6388
3.0,0.7367
4.0,0.8322
5.0,0.9223
6.0,1.0116
7.0,1.1033
8.0,1.1904
9.0,1.2642
11.0,1.3514
12.0,1.3874
13.0,1.3865
14.0,1.368
15.0,1.3442
16.0,1.3189
17.0,1.2969
18.0,1.2725
19.0,1.2234
20.0,1.1616
22.0,0.6866
23.0,0.719
24.0,0.7078
25.0,0.7226
26.0,0.7409
27.0,0.7397
28.0,0.7496
29.0,0.7617
30.0,0.7706
