Alpha,Cl
-25.0,-0.4698
-24.0,-0.4476
-23.0,-0.4319
-22.0,-0.4091
-21.0,-0.6764
-20.0,-0.6358
-19.0,-0.5975
-18.0,-0.5637
-17.0,-0.5354
-16.0,-0.5095
-15.0,-0.4851
-14.0,-0.4617
-13.0,-0.4883
-12.0,-0.4705
-11.0,-0.4872
-10.0,-0.695
-9.0,-0.6473
-8.0,-0.5309
-7.0,-0.4252
-6.0,-0.3152
-5.0,-0.1915
-4.0,-0.0662
-3.0,0.0613
-2.0,0.1877
-1.0,0.3129
0.0,0.4368
1.0,0.5532
2.0,0.6731
3.0,0.7897
4.0,0.9276
5.0,1.0507
6.0,1.1492
7.0,1.2543
8.0,1.3434
9.0,1.4299
10.0,1.5138
11.0,1.5793
12.0,1.6054
13.0,1.6087
14.0,1.5676
15.0,1.4988
16.0,1.4211
17.0,1.35
18.0,1.2952
19.0,1.2558
20.0,1.2301
21.0,1.2194
22.0,1.211
23.0,1.2023
24.0,1.2086
26.0,1.2734
27.0,1.3086
29.0,1.3753
30.0,1.4079
