Alpha,Cd
-25.0,0.37605
-24.0,0.35693
-23.0,0.33782
-22.0,0.31855
-21.0,0.29829
-20.0,0.20065
-19.0,0.18865
-18.0,0.17679
-17.0,0.16442
-16.0,0.15114
-15.0,0.14335
-14.0,0.17223
-13.0,0.15833
-12.0,0.14272
-11.0,0.12717
-10.0,0.11116
-9.0,0.0957
-8.0,0.07985
-7.0,0.06397
-6.0,0.04762
-5.0,0.02553
-4.0,0.01403
-3.0,0.01033
-2.0,0.00907
-1.0,0.00856
0.0,0.00813
1.0,0.00797
2.0,0.00793
3.0,0.00895
4.0,0.01009
6.0,0.01289
7.0,0.01731
8.0,0.02305
9.0,0.03013
10.0,0.0423
11.0,0.0596
12.0,0.08243
13.0,0.10726
14.0,0.13374
15.0,0.16216
16.0,0.19274
17.0,0.22199
18.0,0.24895
19.0,0.27308
20.0,0.29991
21.0,0.32513
22.0,0.34912
23.0,0.3721
24.0,0.39288
25.0,0.41303
26.0,0.43592
27.0,0.45983
28.0,0.48511
29.0,0.50707
30.0,0.53212
