Alpha,Cd
-18.0,0.02687
-17.0,0.02185
-16.0,0.01899
-15.0,0.01656
-14.0,0.01389
-13.0,0.01242
-12.0,0.01199
-11.0,0.01191
-10.0,0.01213
-9.0,0.01229
-8.0,0.0114
-7.0,0.00933
-6.0,0.00787
-5.0,0.00704
-4.0,0.00642
-1.0,0.00617
0.0,0.00603
1.0,0.0059
3.0,0.00555
4.0,0.00579
5.0,0.00635
6.0,0.00744
7.0,0.00888
8.0,0.01026
9.0,0.01184
11.0,0.01437
12.0,0.01608
13.0,0.01864
14.0,0.02132
15.0,0.02485
16.0,0.02971
17.0,0.03642
18.0,0.04571
19.0,0.05896
20.0,0.07845
21.0,0.1007
22.0,0.12602
23.0,0.15233
24.0,0.17732
25.0,0.20721
26.0,0.23574
27.0,0.25872
28.0,0.27623
29.0,0.29518
30.0,0.31581
