Alpha,Cl
-25.0,-0.8005
-24.0,-0.7638
-23.0,-0.7296
-22.0,-0.6918
-21.0,-0.6531
-20.0,-0.617
-19.0,-0.5831
-18.0,-0.5446
-17.0,-0.5072
-16.0,-0.2716
-15.0,-0.2401
-14.0,-0.4391
-13.0,-0.4055
-12.0,-0.3883
-11.0,-0.3895
-10.0,-0.4098
-9.0,-0.3908
-8.0,-0.4447
-7.0,-0.3664
-5.0,-0.1559
-4.0,-0.0481
-3.0,0.0669
-2.0,0.1838
-1.0,0.3002
0.0,0.4135
1.0,0.5185
2.0,0.6659
3.0,0.7751
4.0,0.8716
5.0,0.9773
6.0,1.086
7.0,1.1888
8.0,1.2649
9.0,1.3403
10.0,1.3852
11.0,1.4358
12.0,1.4646
13.0,1.4434
14.0,1.4242
15.0,1.3873
16.0,1.3371
17.0,1.2886
18.0,1.2477
19.0,1.2141
20.0,1.1849
21.0,1.1536
22.0,1.1214
23.0,0.7326
24.0,0.741
25.0,0.7508
26.0,0.7609
27.0,0.7699
28.0,0.7797
29.0,0.7906
30.0,0.7969
