Alpha,Cl
-17.0,-1.3081
-16.0,-1.303
-15.0,-1.2571
-14.0,-1.1572
-13.0,-1.0274
-12.0,-0.8943
-11.0,-0.7714
-10.0,-0.6628
-9.0,-0.5841
-8.0,-0.481
-7.0,-0.3759
-6.0,-0.2695
-5.0,-0.1614
-4.0,-0.0501
-3.0,0.0615
-2.0,0.1737
-1.0,0.2859
0.0,0.3949
1.0,0.5036
2.0,0.6017
3.0,0.733
4.0,0.842
5.0,0.9429
6.0,1.0447
7.0,1.1362
8.0,1.2274
9.0,1.3052
10.0,1.3918
11.0,1.4578
12.0,1.5243
13.0,1.5802
14.0,1.6242
15.0,1.647
16.0,1.6184
17.0,1.6227
18.0,1.6049
19.0,1.5627
20.0,1.4992
21.0,1.4366
22.0,1.384
23.0,1.3463
24.0,1.3169
25.0,1.3017
26.0,1.2946
27.0,1.2964
29.0,1.2567
