Alpha,Cd
-25.0,0.30922
-24.0,0.30234
-23.0,0.27809
-22.0,0.26631
-21.0,0.25519
-20.0,0.24693
-18.0,0.21553
-17.0,0.20277
-16.0,0.19472
-15.0,0.17597
-14.0,0.16609
-13.0,0.15009
-12.0,0.13522
-11.0,0.12278
-10.0,0.11263
-9.0,0.09662
-8.0,0.08933
-7.0,0.07512
-6.0,0.05686
-5.0,0.03173
-4.0,0.02357
-3.0,0.01954
-2.0,0.01598
-1.0,0.01305
0.0,0.01254
1.0,0.01245
2.0,0.01263
3.0,0.01282
4.0,0.01329
5.0,0.0143
6.0,0.01573
7.0,0.01738
8.0,0.01916
9.0,0.02096
10.0,0.02319
11.0,0.0275
12.0,0.03286
13.0,0.04139
14.0,0.05516
15.0,0.07035
16.0,0.08617
17.0,0.10073
18.0,0.12189
19.0,0.15417
20.0,0.23365
21.0,0.26384
22.0,0.22535
23.0,0.23702
24.0,0.25141
25.0,0.26391
26.0,0.33288
28.0,0.35872
29.0,0.36684
30.0,0.3759
