Alpha,Cd
-25.0,0.34173
-24.0,0.32649
-23.0,0.31089
-22.0,0.29669
-21.0,0.28457
-20.0,0.26267
-19.0,0.24748
-18.0,0.23246
-17.0,0.21858
-16.0,0.20565
-15.0,0.18597
-14.0,0.17187
-13.0,0.16002
-12.0,0.14302
-11.0,0.12879
-10.0,0.11944
-9.0,0.10505
-8.0,0.09665
-7.0,0.076
-6.0,0.059
-5.0,0.03242
-4.0,0.02131
-3.0,0.01594
-2.0,0.01369
-1.0,0.01166
0.0,0.00991
1.0,0.01012
2.0,0.01061
3.0,0.01162
4.0,0.0131
5.0,0.01487
6.0,0.01681
7.0,0.01897
8.0,0.02202
9.0,0.02857
10.0,0.03767
11.0,0.04957
12.0,0.06755
14.0,0.11357
15.0,0.13929
16.0,0.16893
17.0,0.20329
18.0,0.23097
19.0,0.25485
20.0,0.27681
21.0,0.29943
22.0,0.3196
23.0,0.3367
24.0,0.35808
25.0,0.37251
26.0,0.38895
27.0,0.40413
28.0,0.42661
29.0,0.43852
30.0,0.45507
