Alpha,Cl
-25.0,-0.9446
-24.0,-0.8933
-23.0,-0.8405
-22.0,-0.7883
-20.0,-0.6846
-19.0,-0.6325
-18.0,-0.5809
-17.0,-0.5344
-16.0,-0.4923
-15.0,-0.4369
-14.0,-0.3977
-13.0,-0.3558
-12.0,-0.3292
-11.0,-0.2907
-10.0,-0.2974
-9.0,-0.2836
-8.0,-0.2572
-7.0,-0.1773
-6.0,-0.1061
-5.0,-0.0935
-4.0,-0.0345
-3.0,0.08
-2.0,0.215
-1.0,0.3493
0.0,0.4722
1.0,0.6686
2.0,0.7747
3.0,0.8797
4.0,0.9935
5.0,1.1033
6.0,1.1935
7.0,1.2601
8.0,1.3013
9.0,1.312
10.0,1.303
11.0,1.266
12.0,1.1998
13.0,1.1318
14.0,0.7437
15.0,0.7482
16.0,0.749
17.0,1.0807
18.0,1.1085
19.0,1.1471
20.0,1.1909
21.0,1.2424
22.0,1.2875
23.0,1.3342
24.0,1.3843
25.0,1.4346
26.0,1.4802
27.0,1.5276
28.0,1.5731
29.0,1.6173
30.0,1.6605
