Alpha,Cl
-18.0,-1.4096
-17.0,-1.395
-16.0,-1.34
-15.0,-1.2632
-14.0,-1.1515
-13.0,-1.0281
-12.0,-0.9132
-11.0,-0.8024
-10.0,-0.6921
-9.0,-0.5781
-8.0,-0.4896
-7.0,-0.3838
-6.0,-0.2756
-5.0,-0.1653
-4.0,-0.0531
-3.0,0.0602
-2.0,0.1728
-1.0,0.2855
0.0,0.3963
1.0,0.5053
2.0,0.6095
3.0,0.7084
4.0,0.8488
5.0,0.9495
6.0,1.0481
7.0,1.1381
8.0,1.2347
9.0,1.3188
10.0,1.4071
11.0,1.4886
12.0,1.5572
13.0,1.6153
14.0,1.6503
15.0,1.6958
16.0,1.7288
17.0,1.7469
18.0,1.7493
19.0,1.7321
20.0,1.6896
21.0,1.6247
22.0,1.5471
23.0,1.4746
24.0,1.4057
25.0,1.3381
26.0,1.3096
27.0,1.3225
28.0,1.3224
29.0,1.3094
